game_id,agent_id,role,model_name,color,timestamp
b43f8d4a-da2e-450c-a055-6657c0d16b17,Agent_1,honest,claude-3-haiku-20240307,🔴,
cf4ca079-8ccd-490a-a29e-86a8eb9e6c20,Agent_1,honest,claude-3-haiku-20240307,🔴,
7e46236f-54ea-44cb-88f4-a9e6c7f23fb0,Agent_1,honest,claude-3-haiku-20240307,🔴,
c3c3fdab-f458-4c90-8fe2-51ad61ceafce,Agent_1,honest,claude-3-haiku-20240307,🔴,
75e0c9a6-50b5-4c32-86d2-4002fd1671fb,Agent_1,honest,claude-3-haiku-20240307,🔴,
4f1cb3a6-60bd-4b8a-bf1f-f66d299bb101,Agent_1,honest,claude-3-haiku-20240307,🔴,
ee00d321-014b-4b6f-a51a-4bfebc72a84f,Agent_1,honest,claude-3-haiku-20240307,🔴,
a8209c0b-86e7-49a4-87df-032a336a9e1e,Agent_1,honest,claude-3-haiku-20240307,🔴,
b43f8d4a-da2e-450c-a055-6657c0d16b17,Agent_2,byzantine,gpt-4-turbo,🔵,
cf4ca079-8ccd-490a-a29e-86a8eb9e6c20,Agent_2,byzantine,gpt-4-turbo,🔵,
7e46236f-54ea-44cb-88f4-a9e6c7f23fb0,Agent_2,byzantine,gpt-4-turbo,🔵,
c3c3fdab-f458-4c90-8fe2-51ad61ceafce,Agent_2,byzantine,gpt-4-turbo,🔵,
75e0c9a6-50b5-4c32-86d2-4002fd1671fb,Agent_2,byzantine,gpt-4-turbo,🔵,
4f1cb3a6-60bd-4b8a-bf1f-f66d299bb101,Agent_2,byzantine,gpt-4-turbo,🔵,
ee00d321-014b-4b6f-a51a-4bfebc72a84f,Agent_2,byzantine,gpt-4-turbo,🔵,
a8209c0b-86e7-49a4-87df-032a336a9e1e,Agent_2,byzantine,gpt-4-turbo,🔵,
b43f8d4a-da2e-450c-a055-6657c0d16b17,Agent_3,honest,gpt-4-turbo,🟢,
cf4ca079-8ccd-490a-a29e-86a8eb9e6c20,Agent_3,honest,gpt-4-turbo,🟢,
