game_id,round_id,agent_id,vote_target,timestamp
b43f8d4a-da2e-450c-a055-6657c0d16b17,3,Agent_1,Agent_2,
cf4ca079-8ccd-490a-a29e-86a8eb9e6c20,3,Agent_1,Agent_2,
7e46236f-54ea-44cb-88f4-a9e6c7f23fb0,3,Agent_1,Agent_2,
c3c3fdab-f458-4c90-8fe2-51ad61ceafce,3,Agent_1,Agent_2,
75e0c9a6-50b5-4c32-86d2-4002fd1671fb,3,Agent_1,Agent_2,
4f1cb3a6-60bd-4b8a-bf1f-f66d299bb101,3,Agent_1,Agent_2,
ee00d321-014b-4b6f-a51a-4bfebc72a84f,3,Agent_1,Agent_2,
a8209c0b-86e7-49a4-87df-032a336a9e1e,3,Agent_1,Agent_2,
b43f8d4a-da2e-450c-a055-6657c0d16b17,3,Agent_2,No Ejection,
cf4ca079-8ccd-490a-a29e-86a8eb9e6c20,3,Agent_2,No Ejection,
7e46236f-54ea-44cb-88f4-a9e6c7f23fb0,3,Agent_2,No Ejection,
c3c3fdab-f458-4c90-8fe2-51ad61ceafce,3,Agent_2,No Ejection,
75e0c9a6-50b5-4c32-86d2-4002fd1671fb,3,Agent_2,No Ejection,
4f1cb3a6-60bd-4b8a-bf1f-f66d299bb101,3,Agent_2,No Ejection,
ee00d321-014b-4b6f-a51a-4bfebc72a84f,3,Agent_2,No Ejection,
a8209c0b-86e7-49a4-87df-032a336a9e1e,3,Agent_2,No Ejection,
b43f8d4a-da2e-450c-a055-6657c0d16b17,3,Agent_3,Agent_2,
cf4ca079-8ccd-490a-a29e-86a8eb9e6c20,3,Agent_3,Agent_2,
7e46236f-54ea-44cb-88f4-a9e6c7f23fb0,3,Agent_3,Agent_2,
c3c3fdab-f458-4c90-8fe2-51ad61ceafce,3,Agent_3,Agent_2,
75e0c9a6-50b5-4c32-86d2-4002fd1671fb,3,Agent_3,Agent_2,
4f1cb3a6-60bd-4b8a-bf1f-f66d299bb101,3,Agent_3,Agent_2,
ee00d321-014b-4b6f-a51a-4bfebc72a84f,3,Agent_3,Agent_2,
a8209c0b-86e7-49a4-87df-032a336a9e1e,3,Agent_3,Agent_2,
b43f8d4a-da2e-450c-a055-6657c0d16b17,3,Agent_4,Agent_2,
cf4ca079-8ccd-490a-a29e-86a8eb9e6c20,3,Agent_4,Agent_2,
7e46236f-54ea-44cb-88f4-a9e6c7f23fb0,3,Agent_4,Agent_2,
c3c3fdab-f458-4c90-8fe2-51ad61ceafce,3,Agent_4,Agent_2,
75e0c9a6-50b5-4c32-86d2-4002fd1671fb,3,Agent_4,Agent_2,
4f1cb3a6-60bd-4b8a-bf1f-f66d299bb101,3,Agent_4,Agent_2,
ee00d321-014b-4b6f-a51a-4bfebc72a84f,3,Agent_4,Agent_2,
a8209c0b-86e7-49a4-87df-032a336a9e1e,3,Agent_4,Agent_2,
b43f8d4a-da2e-450c-a055-6657c0d16b17,3,Agent_5,Agent_2,
cf4ca079-8ccd-490a-a29e-86a8eb9e6c20,3,Agent_5,Agent_2,
7e46236f-54ea-44cb-88f4-a9e6c7f23fb0,3,Agent_5,Agent_2,
c3c3fdab-f458-4c90-8fe2-51ad61ceafce,3,Agent_5,Agent_2,
